"Time  [h]","Conc  [mg/l]"
0.083,3.992165
0.25,0.4020034
0.5,0.1358097
0.75,0.1014011
1.5,0.08580947
3,0.07571026
4,0.0614498
6,0.04783651
8,0.03285623
12,0.01756769
16,0.01311677
24,0.006187899
